kingdom,phylum,class,genus,species,bacteria,strain_id,bacgroup,order
Bacteria,Actinobacteria,Actinobacteria,Tsukamurella,Tsukamurella_paurometabola,Tsukamurella_paurometabola_DSM_20162_uid48829,3129,Actinobacteria,Actinomycetales
Bacteria,Elusimicrobia,-,uncultured,uncultured_Termite,uncultured_Termite_group_1_bacterium_phylotype_Rs_D17_uid59059,3131,Elusimicrobia,Endomicrobium
Bacteria,Tenericutes,Mollicutes,Ureaplasma,Ureaplasma_parvum,Ureaplasma_parvum_serovar_3_ATCC_27815_uid58887,3132,Tenericutes,Mycoplasmatales
Bacteria,Tenericutes,Mollicutes,Ureaplasma,Ureaplasma_parvum,Ureaplasma_parvum_serovar_3_ATCC_700970_uid57711,3133,Tenericutes,Mycoplasmatales
Bacteria,Tenericutes,Mollicutes,Ureaplasma,Ureaplasma_urealyticum,Ureaplasma_urealyticum_serovar_10_ATCC_33699_uid59011,3134,Tenericutes,Mycoplasmatales
Bacteria,Proteobacteria,Betaproteobacteria,Variovorax,Variovorax_paradoxus,Variovorax_paradoxus_EPS_uid62107,3135,Betaproteobacteria,Burkholderiales
Bacteria,Proteobacteria,Betaproteobacteria,Variovorax,Variovorax_paradoxus,Variovorax_paradoxus_S110_uid59437,3136,Betaproteobacteria,Burkholderiales
Bacteria,Firmicutes,Negativicutes,Veillonella,Veillonella_parvula,Veillonella_parvula_DSM_2008_uid41927,3137,Negativicutes,Selenomonadales
Bacteria,Proteobacteria,Betaproteobacteria,Verminephrobacter,Verminephrobacter_eiseniae,Verminephrobacter_eiseniae_EF01_2_uid58675,3138,Betaproteobacteria,Burkholderiales
Bacteria,Actinobacteria,Actinobacteria,Verrucosispora,Verrucosispora_maris,Verrucosispora_maris_AB_18_032_uid66297,3139,Actinobacteria,Actinomycetales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_anguillarum,Vibrio_anguillarum_775_uid68057,1173,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_cholerae,Vibrio_cholerae_M66_2_uid59355,3142,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_cholerae,Vibrio_cholerae_MJ_1236_uid59387,3143,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_cholerae,Vibrio_cholerae_O1_2010EL_1786_uid78933,3144,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_cholerae,Vibrio_cholerae_O1_biovar_El_Tor_N16961_uid57623,3145,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_cholerae,Vibrio_cholerae_O395_uid58425,3147,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_Ex25,Vibrio_Ex25_uid41601,3149,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_fischeri,Vibrio_fischeri_ES114_uid58163,3150,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_fischeri,Vibrio_fischeri_MJ11_uid58907,3151,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_harveyi,Vibrio_harveyi_ATCC_BAA_1116_uid58957,3153,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_parahaemolyticus,Vibrio_parahaemolyticus_RIMD_2210633_uid57969,3154,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_splendidus,Vibrio_splendidus_LGP32_uid59353,3155,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_vulnificus,Vibrio_vulnificus_CMCP6_uid62909,1174,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_vulnificus,Vibrio_vulnificus_MO6_24_O_uid62243,3156,Gammaproteobacteria,Vibrionales
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrio,Vibrio_vulnificus,Vibrio_vulnificus_YJ016_uid58007,3157,Gammaproteobacteria,Vibrionales
